DepotIndex	 DepotInternalId	 DepotLabelId	 DepotCapacity	 DepotRemainingCap	 TotalCustomerDemands.	PivTblVehInfo	 AssignedCustomers
0	0	1	1000	191	809	809	 69(39) - 177(36) - 3(93) - 237(28) - 190(75) - 8(36) - 123(23) - 118(18) - 163(97) - 224(99) - 62(37) - 249(50) - 157(79) - 82(99) - END
1	250	251	100	5	95	95	 208(19) - 246(65) - 200(11) - END
2	251	252	200	41	159	159	 101(33) - 193(13) - 114(78) - 148(6) - 26(29) - END
3	252	253	3000	27	2973	2973	 1(6) - 139(29) - 202(92) - 229(14) - 231(14) - 155(65) - 71(4) - 232(55) - 149(87) - 76(3) - 31(53) - 70(15) - 108(77) - 86(98) - 99(21) - 142(100) - 154(97) - 68(9) - 205(63) - 244(78) - 119(38) - 94(36) - 151(22) - 247(64) - 34(57) - 182(33) - 218(58) - 95(72) - 209(24) - 184(70) - 234(18) - 115(64) - 88(56) - 192(89) - 28(53) - 145(82) - 156(97) - 50(4) - 100(99) - 144(11) - 138(51) - 4(28) - 21(48) - 33(47) - 81(52) - 77(8) - 91(45) - 186(98) - 160(52) - 152(24) - 93(4) - 46(32) - 164(18) - 216(58) - 180(85) - 172(15) - 72(58) - 7(1) - 19(88) - 185(79) - 140(55) - END
4	253	254	100	100	0		 END
5	254	255	60	23	37	37	 56(37) - END
6	255	256	800	207	593	593	 221(77) - 129(87) - 130(17) - 61(44) - 90(33) - 211(18) - 49(79) - 12(50) - 53(19) - 124(11) - 228(2) - 137(85) - 30(24) - 18(47) - END
7	256	257	80	58	22	22	 87(4) - 188(18) - END
8	257	258	80	8	72	72	 111(42) - 236(22) - 23(8) - END
9	258	259	80	0	80	80	 175(67) - 55(5) - 47(8) - END
10	259	260	200	95	105	105	 35(9) - 239(96) - END
11	260	261	10000	2996	7004	7004	 212(77) - 187(99) - 45(73) - 63(80) - 161(39) - 179(59) - 25(93) - 107(42) - 128(54) - 14(1) - 199(3) - 141(45) - 196(90) - 143(38) - 116(5) - 159(46) - 134(50) - 17(51) - 105(25) - 13(57) - 127(31) - 44(12) - 106(39) - 195(19) - 54(44) - 217(84) - 126(2) - 215(49) - 39(42) - 112(71) - 213(28) - 37(83) - 189(55) - 16(37) - 51(14) - 65(95) - 67(56) - 158(79) - 173(21) - 243(98) - 96(26) - 117(93) - 6(43) - 38(96) - 136(71) - 165(3) - 201(98) - 226(54) - 242(36) - 52(17) - 10(63) - 230(42) - 238(3) - 92(98) - 121(81) - 178(84) - 248(43) - 83(29) - 147(39) - 206(57) - 245(92) - 66(56) - 122(4) - 168(40) - 2(72) - 24(69) - 40(80) - 169(49) - 170(96) - 176(10) - 233(2) - 27(5) - 48(79) - 64(60) - 125(86) - 174(56) - 98(84) - 240(53) - 84(12) - 204(2) - 225(83) - 135(25) - 146(50) - 74(5) - 85(50) - 104(93) - 166(23) - 207(50) - 219(41) - 222(57) - 22(40) - 36(74) - 103(74) - 113(85) - 120(29) - 220(98) - 29(8) - 59(90) - 89(24) - 167(19) - 235(17) - 15(66) - 32(13) - 60(57) - 78(31) - 102(84) - 110(50) - 131(81) - 214(72) - 9(53) - 42(56) - 153(69) - 197(35) - 80(3) - 194(19) - 227(86) - 11(25) - 43(43) - 58(62) - 75(12) - 97(71) - 132(72) - 150(83) - 162(94) - 183(62) - 223(39) - 241(15) - 20(75) - 57(100) - 109(68) - 203(1) - 41(22) - 73(73) - 171(58) - 181(60) - 198(76) - 210(14) - END
12	261	262	220	63	157	157	 133(10) - 5(5) - 79(48) - 191(94) - END
