DepotIndex; DepotInternalId; DepotLabelId; DepotCapacity; DepotRemainingCap; NumVehicles; RouteCost; Route; RouteDemand
0; 0; 1; 1000; 109; 2; 90.73;  1 - 164(97) - 225(99) - 83(99) - 158(79) - 250(50) - 63(37) - 238(28) - 123(4) - 1. End; 493
0; 0; 1; 1000; 109; 2; 143.21;  1 - 70(39) - 178(36) - 147(50) - 136(25) - 119(18) - 124(23) - 44(43) - 224(39) - 226(83) - 12(25) - 236(17) - 1. End; 398
1; 250; 251; 100; 1; 1; 70.96;  251 - 209(19) - 247(65) - 200(3) - 45(12) - 251. End; 99
2; 251; 252; 200; 41; 1; 46.48;  252 - 115(78) - 149(6) - 27(29) - 102(33) - 194(13) - 252. End; 159
3; 252; 253; 3000; 25; 6; 163.27;  253 - 235(18) - 34(47) - 139(51) - 22(48) - 187(98) - 82(52) - 5(28) - 116(64) - 146(82) - 77(3) - 69(9) - 253. End; 500
3; 252; 253; 3000; 25; 6; 238.82;  253 - 101(99) - 210(24) - 100(21) - 71(15) - 109(77) - 245(78) - 156(65) - 155(97) - 232(14) - 72(4) - 2(6) - 253. End; 500
3; 252; 253; 3000; 25; 6; 272.19;  253 - 233(55) - 143(100) - 203(92) - 140(29) - 230(14) - 32(53) - 206(63) - 73(58) - 173(15) - 165(18) - 8(1) - 253. End; 498
3; 252; 253; 3000; 25; 6; 285.33;  253 - 186(79) - 20(88) - 141(55) - 161(52) - 29(53) - 183(33) - 96(72) - 35(57) - 145(11) - 253. End; 500
3; 252; 253; 3000; 25; 6; 293.79;  253 - 157(97) - 193(89) - 185(70) - 219(58) - 120(38) - 95(36) - 152(22) - 150(87) - 253. End; 497
3; 252; 253; 3000; 25; 6; 330.23;  253 - 87(98) - 248(64) - 89(56) - 51(4) - 217(58) - 64(80) - 181(85) - 201(11) - 153(24) - 253. End; 480
4; 253; 254; 100; 9; 1; 56.57;  254 - 197(90) - 15(1) - 254. End; 91
5; 254; 255; 60; 23; 1; 14.56;  255 - 57(37) - 255. End; 37
6; 255; 256; 800; 207; 2; 154.36;  256 - 125(11) - 50(79) - 13(50) - 62(44) - 91(33) - 212(18) - 130(87) - 222(77) - 131(17) - 54(19) - 229(2) - 19(47) - 256. End; 484
6; 255; 256; 800; 207; 2; 32.28;  256 - 138(85) - 31(24) - 256. End; 109
7; 256; 257; 80; 58; 1; 37.04;  257 - 189(18) - 88(4) - 257. End; 22
8; 257; 258; 80; 8; 1; 38.59;  258 - 112(42) - 237(22) - 24(8) - 258. End; 72
9; 258; 259; 80; 0; 1; 40.08;  259 - 176(67) - 48(8) - 56(5) - 259. End; 80
10; 259; 260; 200; 6; 1; 130.16;  260 - 240(96) - 36(9) - 92(45) - 78(8) - 94(4) - 47(32) - 260. End; 194
11; 260; 261; 10000; 3264; 14; 320.95;  261 - 28(5) - 174(21) - 55(44) - 205(2) - 199(76) - 74(73) - 97(26) - 167(23) - 208(50) - 113(71) - 214(28) - 216(49) - 127(2) - 117(5) - 75(5) - 166(3) - 53(17) - 261. End; 500
11; 260; 261; 10000; 3264; 14; 193.77;  261 - 196(19) - 3(72) - 171(96) - 231(42) - 10(53) - 154(69) - 249(43) - 122(81) - 90(24) - 204(1) - 261. End; 500
11; 260; 261; 10000; 3264; 14; 116.11;  261 - 218(84) - 84(29) - 207(57) - 66(95) - 221(98) - 37(74) - 184(62) - 261. End; 499
11; 260; 261; 10000; 3264; 14; 269.14;  261 - 126(86) - 65(60) - 242(15) - 215(72) - 132(81) - 58(100) - 239(3) - 11(63) - 81(3) - 177(10) - 234(2) - 261. End; 495
11; 260; 261; 10000; 3264; 14; 299.39;  261 - 59(62) - 151(83) - 190(55) - 107(39) - 168(19) - 14(57) - 43(56) - 198(35) - 195(19) - 104(74) - 261. End; 499
11; 260; 261; 10000; 3264; 14; 269.75;  261 - 191(75) - 9(36) - 4(93) - 17(37) - 244(98) - 7(43) - 38(83) - 121(29) - 261. End; 494
11; 260; 261; 10000; 3264; 14; 306.32;  261 - 85(12) - 103(84) - 16(66) - 220(41) - 76(12) - 163(94) - 60(90) - 182(60) - 106(25) - 30(8) - 261. End; 492
11; 260; 261; 10000; 3264; 14; 299.68;  261 - 105(93) - 142(45) - 26(93) - 23(40) - 49(79) - 175(56) - 144(38) - 129(54) - 261. End; 498
11; 260; 261; 10000; 3264; 14; 327.88;  261 - 40(42) - 39(96) - 243(36) - 67(56) - 169(40) - 114(85) - 18(51) - 25(69) - 33(13) - 261. End; 488
11; 260; 261; 10000; 3264; 14; 363.39;  261 - 137(71) - 227(54) - 79(31) - 202(98) - 68(56) - 52(14) - 135(50) - 159(79) - 42(22) - 211(14) - 261. End; 489
11; 260; 261; 10000; 3264; 14; 299.00;  261 - 170(49) - 172(58) - 133(72) - 98(71) - 228(86) - 21(75) - 110(68) - 261. End; 479
11; 260; 261; 10000; 3264; 14; 392.86;  261 - 223(57) - 86(50) - 93(98) - 179(84) - 111(50) - 61(57) - 160(46) - 148(39) - 261. End; 481
11; 260; 261; 10000; 3264; 14; 360.62;  261 - 180(59) - 162(39) - 188(99) - 46(73) - 213(77) - 108(42) - 99(84) - 261. End; 473
11; 260; 261; 10000; 3264; 14; 434.84;  261 - 41(80) - 128(31) - 246(92) - 118(93) - 241(53) - 261. End; 349
12; 261; 262; 220; 63; 1; 33.02;  262 - 80(48) - 6(5) - 134(10) - 192(94) - 262. End; 157
