DepotIndex; DepotCapacity; DepotRemaCapacity; CustomerIndex; CustomerInternalId; CustomerDemand
 3; 3000 ; 25; 0; 1 ; 6
 11; 10000 ; 3264; 1; 2 ; 72
 11; 10000 ; 3264; 2; 3 ; 93
 3; 3000 ; 25; 3; 4 ; 28
 12; 220 ; 63; 4; 5 ; 5
 11; 10000 ; 3264; 5; 6 ; 43
 3; 3000 ; 25; 6; 7 ; 1
 11; 10000 ; 3264; 7; 8 ; 36
 11; 10000 ; 3264; 8; 9 ; 53
 11; 10000 ; 3264; 9; 10 ; 63
 0; 1000 ; 109; 10; 11 ; 25
 6; 800 ; 207; 11; 12 ; 50
 11; 10000 ; 3264; 12; 13 ; 57
 4; 100 ; 9; 13; 14 ; 1
 11; 10000 ; 3264; 14; 15 ; 66
 11; 10000 ; 3264; 15; 16 ; 37
 11; 10000 ; 3264; 16; 17 ; 51
 6; 800 ; 207; 17; 18 ; 47
 3; 3000 ; 25; 18; 19 ; 88
 11; 10000 ; 3264; 19; 20 ; 75
 3; 3000 ; 25; 20; 21 ; 48
 11; 10000 ; 3264; 21; 22 ; 40
 8; 80 ; 8; 22; 23 ; 8
 11; 10000 ; 3264; 23; 24 ; 69
 11; 10000 ; 3264; 24; 25 ; 93
 2; 200 ; 41; 25; 26 ; 29
 11; 10000 ; 3264; 26; 27 ; 5
 3; 3000 ; 25; 27; 28 ; 53
 11; 10000 ; 3264; 28; 29 ; 8
 6; 800 ; 207; 29; 30 ; 24
 3; 3000 ; 25; 30; 31 ; 53
 11; 10000 ; 3264; 31; 32 ; 13
 3; 3000 ; 25; 32; 33 ; 47
 3; 3000 ; 25; 33; 34 ; 57
 10; 200 ; 6; 34; 35 ; 9
 11; 10000 ; 3264; 35; 36 ; 74
 11; 10000 ; 3264; 36; 37 ; 83
 11; 10000 ; 3264; 37; 38 ; 96
 11; 10000 ; 3264; 38; 39 ; 42
 11; 10000 ; 3264; 39; 40 ; 80
 11; 10000 ; 3264; 40; 41 ; 22
 11; 10000 ; 3264; 41; 42 ; 56
 0; 1000 ; 109; 42; 43 ; 43
 1; 100 ; 1; 43; 44 ; 12
 11; 10000 ; 3264; 44; 45 ; 73
 10; 200 ; 6; 45; 46 ; 32
 9; 80 ; 0; 46; 47 ; 8
 11; 10000 ; 3264; 47; 48 ; 79
 6; 800 ; 207; 48; 49 ; 79
 3; 3000 ; 25; 49; 50 ; 4
 11; 10000 ; 3264; 50; 51 ; 14
 11; 10000 ; 3264; 51; 52 ; 17
 6; 800 ; 207; 52; 53 ; 19
 11; 10000 ; 3264; 53; 54 ; 44
 9; 80 ; 0; 54; 55 ; 5
 5; 60 ; 23; 55; 56 ; 37
 11; 10000 ; 3264; 56; 57 ; 100
 11; 10000 ; 3264; 57; 58 ; 62
 11; 10000 ; 3264; 58; 59 ; 90
 11; 10000 ; 3264; 59; 60 ; 57
 6; 800 ; 207; 60; 61 ; 44
 0; 1000 ; 109; 61; 62 ; 37
 3; 3000 ; 25; 62; 63 ; 80
 11; 10000 ; 3264; 63; 64 ; 60
 11; 10000 ; 3264; 64; 65 ; 95
 11; 10000 ; 3264; 65; 66 ; 56
 11; 10000 ; 3264; 66; 67 ; 56
 3; 3000 ; 25; 67; 68 ; 9
 0; 1000 ; 109; 68; 69 ; 39
 3; 3000 ; 25; 69; 70 ; 15
 3; 3000 ; 25; 70; 71 ; 4
 3; 3000 ; 25; 71; 72 ; 58
 11; 10000 ; 3264; 72; 73 ; 73
 11; 10000 ; 3264; 73; 74 ; 5
 11; 10000 ; 3264; 74; 75 ; 12
 3; 3000 ; 25; 75; 76 ; 3
 10; 200 ; 6; 76; 77 ; 8
 11; 10000 ; 3264; 77; 78 ; 31
 12; 220 ; 63; 78; 79 ; 48
 11; 10000 ; 3264; 79; 80 ; 3
 3; 3000 ; 25; 80; 81 ; 52
 0; 1000 ; 109; 81; 82 ; 99
 11; 10000 ; 3264; 82; 83 ; 29
 11; 10000 ; 3264; 83; 84 ; 12
 11; 10000 ; 3264; 84; 85 ; 50
 3; 3000 ; 25; 85; 86 ; 98
 7; 80 ; 58; 86; 87 ; 4
 3; 3000 ; 25; 87; 88 ; 56
 11; 10000 ; 3264; 88; 89 ; 24
 6; 800 ; 207; 89; 90 ; 33
 10; 200 ; 6; 90; 91 ; 45
 11; 10000 ; 3264; 91; 92 ; 98
 10; 200 ; 6; 92; 93 ; 4
 3; 3000 ; 25; 93; 94 ; 36
 3; 3000 ; 25; 94; 95 ; 72
 11; 10000 ; 3264; 95; 96 ; 26
 11; 10000 ; 3264; 96; 97 ; 71
 11; 10000 ; 3264; 97; 98 ; 84
 3; 3000 ; 25; 98; 99 ; 21
 3; 3000 ; 25; 99; 100 ; 99
 2; 200 ; 41; 100; 101 ; 33
 11; 10000 ; 3264; 101; 102 ; 84
 11; 10000 ; 3264; 102; 103 ; 74
 11; 10000 ; 3264; 103; 104 ; 93
 11; 10000 ; 3264; 104; 105 ; 25
 11; 10000 ; 3264; 105; 106 ; 39
 11; 10000 ; 3264; 106; 107 ; 42
 3; 3000 ; 25; 107; 108 ; 77
 11; 10000 ; 3264; 108; 109 ; 68
 11; 10000 ; 3264; 109; 110 ; 50
 8; 80 ; 8; 110; 111 ; 42
 11; 10000 ; 3264; 111; 112 ; 71
 11; 10000 ; 3264; 112; 113 ; 85
 2; 200 ; 41; 113; 114 ; 78
 3; 3000 ; 25; 114; 115 ; 64
 11; 10000 ; 3264; 115; 116 ; 5
 11; 10000 ; 3264; 116; 117 ; 93
 0; 1000 ; 109; 117; 118 ; 18
 3; 3000 ; 25; 118; 119 ; 38
