DepotIndex; DepotInternalId; DepotLabelId; DepotCapacity; DepotRemainingCap; RouteCost; Route 
0; 0; 1; 1000; 105; 0.00;  1 - 99 - 101 - 101 - 81 - 52 - 39 - 30 - 6 - 1. End
0; 0; 1; 1000; 105; 0.00;  1 - 38 - 41 - 77 - 38 - 25 - 20 - 95 - 41 - 45 - 1. End
1; 250; 251; 100; 16; 0.00;  251 - 21 - 67 - 251. End
2; 251; 252; 200; 41; 0.00;  252 - 80 - 8 - 31 - 35 - 15 - 252. End
3; 252; 253; 3000; 30; 0.00;  253 - 81 - 90 - 57 - 54 - 55 - 35 - 74 - 59 - 13 - 253. End
3; 252; 253; 3000; 30; 0.00;  253 - 101 - 26 - 23 - 17 - 79 - 80 - 67 - 99 - 16 - 6 - 8 - 253. End
3; 252; 253; 3000; 30; 0.00;  253 - 20 - 49 - 53 - 50 - 100 - 54 - 30 - 66 - 84 - 5 - 11 - 253. End
3; 252; 253; 3000; 30; 0.00;  253 - 57 - 102 - 94 - 31 - 16 - 55 - 65 - 60 - 17 - 20 - 3 - 253. End
3; 252; 253; 3000; 30; 0.00;  253 - 99 - 91 - 72 - 60 - 40 - 38 - 24 - 89 - 253. End
3; 252; 253; 3000; 30; 0.00;  253 - 100 - 66 - 58 - 6 - 10 - 47 - 82 - 87 - 13 - 26 - 253. End
5; 254; 255; 60; 11; 0.00;  255 - 39 - 12 - 4 - 255. End
6; 255; 256; 800; 207; 0.00;  256 - 13 - 81 - 52 - 46 - 35 - 20 - 89 - 79 - 19 - 21 - 4 - 49 - 256. End
6; 255; 256; 800; 207; 0.00;  256 - 87 - 26 - 256. End
7; 256; 257; 80; 58; 0.00;  257 - 20 - 6 - 257. End
8; 257; 258; 80; 8; 0.00;  258 - 44 - 24 - 10 - 258. End
9; 258; 259; 80; 0; 0.00;  259 - 69 - 10 - 7 - 259. End
10; 259; 260; 200; 95; 0.00;  260 - 98 - 11 - 260. End
11; 260; 261; 10000; 3080; 0.00;  261 - 83 - 57 - 26 - 21 - 59 - 64 - 64 - 85 - 59 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 88 - 74 - 98 - 44 - 55 - 71 - 45 - 41 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 76 - 87 - 21 - 37 - 58 - 65 - 83 - 74 - 17 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 86 - 68 - 43 - 14 - 96 - 92 - 62 - 51 - 5 - 3 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 95 - 47 - 95 - 42 - 31 - 81 - 92 - 16 - 14 - 6 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 81 - 48 - 41 - 94 - 71 - 82 - 53 - 42 - 5 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 74 - 27 - 52 - 59 - 45 - 100 - 39 - 27 - 52 - 44 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 7 - 23 - 46 - 4 - 78 - 75 - 28 - 25 - 52 - 73 - 30 - 51 - 4 - 7 - 7 - 5 - 14 - 3 - 5 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 76 - 100 - 31 - 86 - 97 - 85 - 34 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 58 - 40 - 44 - 86 - 55 - 95 - 100 - 24 - 10 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 60 - 19 - 73 - 56 - 15 - 33 - 100 - 58 - 16 - 52 - 33 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 102 - 27 - 19 - 85 - 38 - 98 - 58 - 62 - 21 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 86 - 52 - 59 - 70 - 77 - 88 - 73 - 261. End
11; 260; 261; 10000; 3080; 0.00;  261 - 56 - 61 - 41 - 101 - 75 - 79 - 60 - 261. End
12; 261; 262; 220; 63; 0.00;  262 - 50 - 7 - 12 - 96 - 262. End
