SHOWING CLUSTER INFORMATION
DepotIndex; DepotInternalId; DepotLabelId; DepotCapacity; DepotRemainingCap; AssignedCustomers; TotalCustomerDemands.
0; 0; 1; 1000; 109; 249(50) - 157(79) - 82(99) - 62(37) - 237(28) - 177(36) - 69(39) - 224(99) - 163(97) - 43(43) - 225(83) - 235(17) - 223(39) - 122(4) - 11(25) - 146(50) - 135(25) - 123(23) - 118(18) - END; 891
1; 250; 251; 100; 1; 208(19) - 199(3) - 246(65) - 44(12) - END; 99
2; 251; 252; 200; 41; 101(33) - 193(13) - 114(78) - 148(6) - 26(29) - END; 159
3; 252; 253; 3000; 25; 149(87) - 86(98) - 247(64) - 151(22) - 94(36) - 1(6) - 119(38) - 88(56) - 139(29) - 202(92) - 229(14) - 218(58) - 184(70) - 50(4) - 155(65) - 192(89) - 76(3) - 231(14) - 71(4) - 154(97) - 144(11) - 232(55) - 31(53) - 108(77) - 34(57) - 182(33) - 70(15) - 244(78) - 95(72) - 99(21) - 142(100) - 68(9) - 205(63) - 156(97) - 28(53) - 115(64) - 216(58) - 145(82) - 180(85) - 209(24) - 4(28) - 63(80) - 152(24) - 100(99) - 234(18) - 81(52) - 200(11) - 138(51) - 186(98) - 21(48) - 33(47) - 160(52) - 164(18) - 7(1) - 172(15) - 140(55) - 72(58) - 19(88) - 185(79) - END; 2975
4; 253; 254; 100; 9; 14(1) - 196(90) - END; 91
5; 254; 255; 60; 23; 56(37) - END; 37
6; 255; 256; 800; 207; 221(77) - 129(87) - 130(17) - 61(44) - 90(33) - 211(18) - 49(79) - 12(50) - 53(19) - 124(11) - 228(2) - 137(85) - 30(24) - 18(47) - END; 593
7; 256; 257; 80; 58; 87(4) - 188(18) - END; 22
8; 257; 258; 80; 8; 23(8) - 236(22) - 111(42) - END; 72
9; 258; 259; 80; 0; 175(67) - 55(5) - 47(8) - END; 80
10; 259; 260; 200; 6; 35(9) - 239(96) - 77(8) - 91(45) - 93(4) - 46(32) - END; 194
11; 260; 261; 10000; 3264; 212(77) - 45(73) - 187(99) - 107(42) - 161(39) - 179(59) - 143(38) - 128(54) - 240(53) - 174(56) - 98(84) - 48(79) - 117(93) - 120(29) - 22(40) - 25(93) - 92(98) - 178(84) - 85(50) - 141(45) - 222(57) - 105(25) - 37(83) - 74(5) - 241(15) - 116(5) - 104(93) - 233(2) - 126(2) - 39(42) - 51(14) - 210(14) - 41(22) - 165(3) - 176(10) - 238(3) - 64(60) - 29(8) - 32(13) - 80(3) - 75(12) - 203(1) - 159(46) - 134(50) - 215(49) - 17(51) - 125(86) - 84(12) - 13(57) - 127(31) - 67(56) - 106(39) - 3(93) - 10(63) - 195(19) - 6(43) - 54(44) - 217(84) - 112(71) - 213(28) - 189(55) - 16(37) - 65(95) - 158(79) - 173(21) - 243(98) - 96(26) - 38(96) - 78(31) - 136(71) - 201(98) - 226(54) - 242(36) - 52(17) - 230(42) - 8(36) - 121(81) - 190(75) - 248(43) - 83(29) - 147(39) - 206(57) - 245(92) - 66(56) - 168(40) - 2(72) - 24(69) - 40(80) - 169(49) - 170(96) - 27(5) - 57(100) - 194(19) - 204(2) - 166(23) - 207(50) - 219(41) - 36(74) - 103(74) - 113(85) - 220(98) - 59(90) - 89(24) - 162(94) - 167(19) - 15(66) - 60(57) - 102(84) - 110(50) - 131(81) - 214(72) - 9(53) - 42(56) - 153(69) - 197(35) - 227(86) - 58(62) - 97(71) - 132(72) - 150(83) - 183(62) - 20(75) - 109(68) - 73(73) - 171(58) - 181(60) - 198(76) - END; 6736
12; 261; 262; 220; 63; 133(10) - 5(5) - 79(48) - 191(94) - END; 157
END OF CLUSTER INFORMATION
