DepotIndex	 DepotInternalId	 DepotLabelId	 DepotCapacity	 DepotRemainingCap	 NumVehicles	 RouteCost	 RouteDemand	 Route
0	0	1	1000	105	2	90.73	408	  1 - 99(84) - 101(99) - 101(99) - 81(3) - 52(14) - 39(96) - 30(8) - 6(5) - 1. End
0	0	1	1000	105	2	136.63	534	  1 - 38(83) - 41(80) - 77(3) - 38(83) - 25(69) - 20(88) - 95(36) - 41(80) - 45(12) - 1. End
1	250	251	100	16	1	33.41	131	  251 - 21(75) - 67(56) - 251. End
2	251	252	200	41	1	46.48	131	  252 - 80(48) - 8(1) - 31(24) - 35(57) - 15(1) - 252. End
3	252	253	3000	30	6	285.33	369	  253 - 81(3) - 90(24) - 57(37) - 54(19) - 55(44) - 35(57) - 74(73) - 59(62) - 13(50) - 253. End
3	252	253	3000	30	6	238.82	560	  253 - 101(99) - 26(93) - 23(40) - 17(37) - 79(31) - 80(48) - 67(56) - 99(84) - 16(66) - 6(5) - 8(1) - 253. End
3	252	253	3000	30	6	163.27	526	  253 - 20(88) - 49(79) - 53(17) - 50(79) - 100(21) - 54(19) - 30(8) - 66(95) - 84(29) - 5(28) - 11(63) - 253. End
3	252	253	3000	30	6	272.19	555	  253 - 57(37) - 102(33) - 94(4) - 31(24) - 16(66) - 55(44) - 65(60) - 60(90) - 17(37) - 20(88) - 3(72) - 253. End
3	252	253	3000	30	6	293.79	400	  253 - 99(84) - 91(33) - 72(4) - 60(90) - 40(42) - 38(83) - 24(8) - 89(56) - 253. End
3	252	253	3000	30	6	339.36	599	  253 - 100(21) - 66(95) - 58(100) - 6(5) - 10(53) - 47(32) - 82(52) - 87(98) - 13(50) - 26(93) - 253. End
5	254	255	60	11	1	69.56	214	  255 - 39(96) - 12(25) - 4(93) - 255. End
6	255	256	800	207	2	154.36	666	  256 - 13(50) - 81(3) - 52(14) - 46(73) - 35(57) - 20(88) - 89(56) - 79(31) - 19(47) - 21(75) - 4(93) - 49(79) - 256. End
6	255	256	800	207	2	32.28	191	  256 - 87(98) - 26(93) - 256. End
7	256	257	80	58	1	37.04	93	  257 - 20(88) - 6(5) - 257. End
8	257	258	80	8	1	38.59	104	  258 - 44(43) - 24(8) - 10(53) - 258. End
9	258	259	80	0	1	40.08	105	  259 - 69(9) - 10(53) - 7(43) - 259. End
10	259	260	200	95	1	25.32	134	  260 - 98(71) - 11(63) - 260. End
11	260	261	10000	3080	14	212.85	600	  261 - 83(99) - 57(37) - 26(93) - 21(75) - 59(62) - 64(80) - 64(80) - 85(12) - 59(62) - 261. End
11	260	261	10000	3080	14	180.75	342	  261 - 88(4) - 74(73) - 98(71) - 44(43) - 55(44) - 71(15) - 45(12) - 41(80) - 261. End
11	260	261	10000	3080	14	232.28	628	  261 - 76(12) - 87(98) - 21(75) - 37(74) - 58(100) - 65(60) - 83(99) - 74(73) - 17(37) - 261. End
11	260	261	10000	3080	14	284.26	484	  261 - 86(50) - 68(56) - 43(56) - 14(57) - 96(72) - 92(45) - 62(44) - 51(4) - 5(28) - 3(72) - 261. End
11	260	261	10000	3080	14	520.62	326	  261 - 95(36) - 47(32) - 95(36) - 42(22) - 31(24) - 81(3) - 92(45) - 16(66) - 14(57) - 6(5) - 261. End
11	260	261	10000	3080	14	391.68	229	  261 - 81(3) - 48(8) - 41(80) - 94(4) - 71(15) - 82(52) - 53(17) - 42(22) - 5(28) - 261. End
11	260	261	10000	3080	14	317.41	393	  261 - 74(73) - 27(29) - 52(14) - 59(62) - 45(12) - 100(21) - 39(96) - 27(29) - 52(14) - 44(43) - 261. End
11	260	261	10000	3080	14	401.76	784	  261 - 7(43) - 23(40) - 46(73) - 4(93) - 78(8) - 75(5) - 28(5) - 25(69) - 52(14) - 73(58) - 30(8) - 51(4) - 4(93) - 7(43) - 7(43) - 5(28) - 14(57) - 3(72) - 5(28) - 261. End
11	260	261	10000	3080	14	423.24	192	  261 - 76(12) - 100(21) - 31(24) - 86(50) - 97(26) - 85(12) - 34(47) - 261. End
11	260	261	10000	3080	14	386.65	397	  261 - 58(100) - 40(42) - 44(43) - 86(50) - 55(44) - 95(36) - 100(21) - 24(8) - 10(53) - 261. End
11	260	261	10000	3080	14	408.01	428	  261 - 60(90) - 19(47) - 73(58) - 56(5) - 15(1) - 33(13) - 100(21) - 58(100) - 16(66) - 52(14) - 33(13) - 261. End
11	260	261	10000	3080	14	248.29	494	  261 - 102(33) - 27(29) - 19(47) - 85(12) - 38(83) - 98(71) - 58(100) - 62(44) - 21(75) - 261. End
11	260	261	10000	3080	14	332.51	230	  261 - 86(50) - 52(14) - 59(62) - 70(39) - 77(3) - 88(4) - 73(58) - 261. End
11	260	261	10000	3080	14	359.08	367	  261 - 56(5) - 61(57) - 41(80) - 101(99) - 75(5) - 79(31) - 60(90) - 261. End
12	261	262	220	63	1	33.02	219	  262 - 50(79) - 7(43) - 12(25) - 96(72) - 262. End
